index,PC1,PC2,Cluster
0,5.713396379098248,3.785145017581335,1
1,-1.449202536987245,-2.958466224350952,1
2,-0.365063337525111,-2.6707774662056583,1
3,-0.0330063937500992,-2.535564689018831,1
4,2.004970592739357,-1.1183149293959245,1
5,0.7365068638956743,-1.9977649918002711,1
6,1.1085913628823998,-1.8705908455668696,1
7,1.5977521317835743,-1.0609311541027602,1
8,2.0293564723735393,-2.080042338871017,1
9,3.585092355840468,0.2274001634793338,1
10,1.526251138398972,-1.9720756735080285,1
11,0.8951676843096443,2.009456901642898,0
12,-1.04556637508391,0.7327534799249528,0
13,-2.086757717795101,0.5520751365015173,0
14,-1.1792741918609078,0.973795052851006,0
15,-1.3747146231818066,1.446740783255828,0
16,-1.3290771635937264,1.3177285781804493,0
17,-1.3686775480901356,1.7454827105804838,0
18,-3.5932500597210963,-0.4161099416332675,0
19,-0.3364658500189523,3.078523349974138,0
20,-2.639221277515225,0.9419552539342642,0
21,-1.5953620513950395,2.710578694105662,0
22,-0.8014458548035204,-0.8409968675582845,0
