index,TSNE1,TSNE2,Cluster
0,0.10652068705926115,1.0,0
1,0.12979564256958054,0.15788971036341537,0
2,0.07670982094216627,0.2357017515374008,0
3,0.1350515258022546,0.30511335593702177,0
4,0.012867880820632505,0.7363578075190396,0
5,0.13227590163299124,0.4737607921438632,0
6,0.09488156618245241,0.5521667446006948,0
7,0.13567204586032894,0.7138965303093803,0
8,0.0,0.6150330251991347,0
9,0.08292885833679686,0.8693703314622989,0
10,0.18135364593890574,0.5991611972503941,0
11,0.7930823011756926,0.0,1
12,0.6978703607134272,0.34867427409146556,1
13,0.6542445550840151,0.21966899619977936,1
14,0.9999999999999998,0.4477859755654864,1
15,0.7265591222690363,0.24711773963545244,1
16,0.9540345722765615,0.33509683789832273,1
17,0.9243041529884418,0.4332386435562929,1
18,0.8207699183759225,0.6917748483106742,1
19,0.8087698906615983,0.11183768599513827,1
20,0.8656205974323166,0.6122657496908357,1
21,0.8710807466300006,0.31049980463444643,1
22,0.5937404868725109,0.45215823554244544,1
