index,MDS1,MDS2,Cluster
0,0.09137010162145792,1.0,1
1,0.4783732066547299,0.0,1
2,0.38093561352604205,0.0812869961159639,1
3,0.32149259008411074,0.12041928234462362,1
4,0.1327559498114284,0.415046428355166,1
5,0.27858385597765045,0.2236898725269046,1
6,0.2313538022160006,0.24886792098338045,1
7,0.2251749258433134,0.3653300833356709,1
8,0.01925971970003615,0.2953621162392238,1
9,0.0,0.5438603379639451,1
10,0.0875740776021286,0.21856166520083975,1
11,0.5129290670865202,0.660399866657776,0
12,0.63985624538781,0.3711993744451184,0
13,0.8282729415488328,0.20070526211127004,0
14,0.915404066924465,0.3531076102248424,0
15,0.7077946919390239,0.4658331206993517,0
16,0.8106266423686321,0.38098458871435714,0
17,0.9402978616762125,0.41587130299814756,0
18,0.9815409370695225,0.06949922430877148,0
19,0.7656351112749802,0.6151374222920097,0
20,1.0,0.24718053052616662,0
21,0.9501934824498215,0.4956979653142266,0
22,0.5597004876498058,0.21378245289710712,0
